chunk_index,token_density,heading_depth,neighbor_overlap,source_file,page
0,395,0,0.22522522522522523,unknown,-1
1,543,0,0.22270742358078602,unknown,-1
2,466,0,0.2572614107883817,unknown,-1
3,453,0,0.24596774193548387,unknown,-1
4,511,0,0.23904382470119523,unknown,-1
5,435,0,0.21951219512195122,unknown,-1
6,431,0,0.23809523809523808,unknown,-1
7,458,0,0.12690355329949238,unknown,-1
8,82,0,0.0963855421686747,unknown,-1
9,545,0,0.19886363636363635,unknown,-1
10,505,0,0.25,unknown,-1
11,448,0,0.3076923076923077,unknown,-1
12,483,0,0.8457446808510638,unknown,-1
13,434,0,0.3076923076923077,unknown,-1
14,583,0,0.18045112781954886,unknown,-1
15,446,0,0.20833333333333334,unknown,-1
16,620,0,0.2696969696969697,unknown,-1
17,752,0,0.2929936305732484,unknown,-1
18,580,0,0.3388704318936877,unknown,-1
19,552,0,0.3333333333333333,unknown,-1
20,597,0,0.3114754098360656,unknown,-1
21,583,0,0.3569230769230769,unknown,-1
22,590,0,0.240625,unknown,-1
23,388,0,0.22697368421052633,unknown,-1
24,610,0,0.32131147540983607,unknown,-1
25,528,0,0.22413793103448276,unknown,-1
26,587,0,0.16049382716049382,unknown,-1
27,461,0,0.2857142857142857,unknown,-1
28,456,0,0.21951219512195122,unknown,-1
29,489,0,0.20766773162939298,unknown,-1
30,481,0,0.24814814814814815,unknown,-1
31,484,0,0.6098901098901099,unknown,-1
32,462,0,0.5118483412322274,unknown,-1
33,510,0,0.4264705882352941,unknown,-1
34,460,0,0.24770642201834864,unknown,-1
35,515,0,0.2023121387283237,unknown,-1
36,494,0,0.20059880239520958,unknown,-1
37,540,0,0.23314606741573032,unknown,-1
38,647,0,0.34513274336283184,unknown,-1
39,548,0,0.34705882352941175,unknown,-1
40,630,0,0.3293768545994065,unknown,-1
41,547,0,0.24705882352941178,unknown,-1
42,476,0,0.24085365853658536,unknown,-1
43,441,0,0.2564935064935065,unknown,-1
44,420,0,0.2,unknown,-1
45,484,0,0.24068767908309455,unknown,-1
46,595,0,0.25732899022801303,unknown,-1
47,452,0,0.20912547528517111,unknown,-1
48,437,0,0.2851985559566787,unknown,-1
49,493,0,0.2077562326869806,unknown,-1
50,641,0,0.25316455696202533,unknown,-1
51,458,0,0.23272727272727273,unknown,-1
52,589,0,0.1838006230529595,unknown,-1
53,529,0,0.24929178470254956,unknown,-1
54,627,0,0.3042168674698795,unknown,-1
55,556,0,0.24503311258278146,unknown,-1
56,416,0,0.2736156351791531,unknown,-1
57,583,0,0.2834890965732087,unknown,-1
58,621,0,0.26578073089701,unknown,-1
59,475,0,0.34397163120567376,unknown,-1
60,487,0,0.2515923566878981,unknown,-1
61,589,0,0.28852459016393445,unknown,-1
62,661,0,0.2508591065292096,unknown,-1
63,620,0,0.19784172661870503,unknown,-1
64,620,0,0.34545454545454546,unknown,-1
65,668,0,0.23100303951367782,unknown,-1
66,548,0,0.28338762214983715,unknown,-1
67,603,0,0.2422360248447205,unknown,-1
68,522,0,0.2469879518072289,unknown,-1
69,565,0,0.25595238095238093,unknown,-1
70,556,0,0.25617283950617287,unknown,-1
71,623,0,0.25165562913907286,unknown,-1
72,508,0,0.219435736677116,unknown,-1
73,504,0,0.24641833810888253,unknown,-1
74,576,0,0.27714285714285714,unknown,-1
75,537,0,0.25252525252525254,unknown,-1
76,345,0,0.3933649289099526,unknown,-1
77,417,0,0.1918819188191882,unknown,-1
78,472,0,0.3402777777777778,unknown,-1
79,559,0,0.255663430420712,unknown,-1
80,483,0,0.22388059701492538,unknown,-1
81,652,0,0.21243523316062177,unknown,-1
82,605,0,0.27113702623906705,unknown,-1
83,511,0,0.22093023255813954,unknown,-1
84,434,0,0.16728624535315986,unknown,-1
85,158,0,0.15,unknown,-1
86,544,0,0.27976190476190477,unknown,-1
87,728,0,0.3270440251572327,unknown,-1
88,558,0,0.2966666666666667,unknown,-1
89,668,0,0.27181208053691275,unknown,-1
90,455,0,0.25077399380804954,unknown,-1
91,568,0,0.25301204819277107,unknown,-1
92,533,0,0.1987179487179487,unknown,-1
93,478,0,0.22058823529411764,unknown,-1
94,461,0,0.32421875,unknown,-1
95,530,0,0.39338235294117646,unknown,-1
96,476,0,0.26198083067092653,unknown,-1
97,451,0,0.28530259365994237,unknown,-1
98,629,0,0.23699421965317918,unknown,-1
99,458,0,0.2518248175182482,unknown,-1
100,411,0,0.22569444444444445,unknown,-1
101,516,0,0.26198083067092653,unknown,-1
102,477,0,0.2560240963855422,unknown,-1
103,472,0,0.3016949152542373,unknown,-1
104,466,0,0.31313131313131315,unknown,-1
105,470,0,0.23582089552238805,unknown,-1
106,457,0,0.20469798657718122,unknown,-1
107,415,0,0.2764505119453925,unknown,-1
108,492,0,0.22126436781609196,unknown,-1
109,402,0,0.17575757575757575,unknown,-1
110,358,0,0.2125,unknown,-1
111,546,0,0.27873563218390807,unknown,-1
112,574,0,0.2542857142857143,unknown,-1
113,479,0,0.267515923566879,unknown,-1
114,392,0,0.21070234113712374,unknown,-1
115,364,0,0.27956989247311825,unknown,-1
116,389,0,0.28,unknown,-1
117,259,0,0.21875,unknown,-1
118,463,0,0.19047619047619047,unknown,-1
119,548,0,0.17647058823529413,unknown,-1
120,465,0,0.2222222222222222,unknown,-1
121,481,0,0.21296296296296297,unknown,-1
122,496,0,0.2188449848024316,unknown,-1
123,542,0,0.28391167192429023,unknown,-1
124,452,0,0.25,unknown,-1
125,659,0,0.2913907284768212,unknown,-1
126,446,0,0.22560975609756098,unknown,-1
127,519,0,0.2797427652733119,unknown,-1
128,413,0,0.3380281690140845,unknown,-1
129,508,0,0.2616487455197133,unknown,-1
130,460,0,0.3333333333333333,unknown,-1
131,446,0,0.2857142857142857,unknown,-1
132,511,0,0.18956043956043955,unknown,-1
133,471,0,0.19337016574585636,unknown,-1
134,588,0,0.23723723723723725,unknown,-1
135,572,0,0.32608695652173914,unknown,-1
136,657,0,0.2916666666666667,unknown,-1
137,582,0,0.24709302325581395,unknown,-1
138,609,0,0.1981981981981982,unknown,-1
139,418,0,0.3054545454545455,unknown,-1
140,446,0,0.2490272373540856,unknown,-1
141,492,0,0.17981072555205047,unknown,-1
142,657,0,0.24128686327077747,unknown,-1
143,562,0,0.23283582089552238,unknown,-1
144,521,0,0.23255813953488372,unknown,-1
145,511,0,0.205607476635514,unknown,-1
146,394,0,0.36507936507936506,unknown,-1
147,256,0,0.2610619469026549,unknown,-1
148,381,0,0.20257234726688103,unknown,-1
